CONTACT_ID,WEEK_ID,ORDER_COUNT,QUANTITIY_COUNT
678010,202323,3,11
678010,202325,4,19
678012,202138,2,29
678012,202139,1,10
678012,202148,1,100
678012,202151,1,20
678012,202215,1,7
678012,202217,1,100
678012,202248,2,140
678012,202304,2,90
678012,202317,2,20
678012,202321,1,100
678013,202247,1,50
678013,202311,1,50
678014,202127,1,10
678014,202132,4,450
678014,202139,2,160
678014,202207,2,110
678014,202213,1,30
678014,202218,8,630
678014,202222,1,200
678014,202226,5,350
678014,202227,4,78
678014,202233,2,140
678014,202236,1,6
678014,202237,1,1
678014,202239,3,110
678014,202240,1,15
678014,202241,2,15
678014,202244,5,490
678014,202248,3,85
678014,202251,1,60
678014,202308,2,20
678014,202309,2,30
678014,202310,8,490
678014,202311,1,50
678014,202312,1,150
678014,202315,2,40
678014,202317,4,230
678014,202324,3,200
678014,202325,2,40
678015,202127,3,25
678015,202129,1,20
678015,202132,12,260
678015,202134,7,75
678015,202135,1,150
678015,202136,9,390
678015,202137,1,40
678015,202138,4,27
678015,202139,1,10
678015,202140,21,368
678015,202143,1,20
678015,202144,3,180
678015,202145,7,310
678015,202146,4,130
678015,202147,7,180
678015,202148,2,30
678015,202149,1,10
678015,202150,7,252
678015,202151,2,20
678015,202152,1,50
678015,202202,3,250
678015,202204,7,270
678015,202205,1,100
678015,202206,2,150
678015,202207,1,100
678015,202209,13,356
678015,202210,10,394
678015,202211,3,150
678015,202212,3,185
678015,202213,2,51
678015,202214,1,200
678015,202216,2,102
678015,202217,5,118
678015,202218,7,79
678015,202220,21,311
678015,202221,2,85
678015,202222,1,20
678015,202223,4,75
678015,202224,6,194
678015,202225,1,30
678015,202226,14,305
678015,202227,1,10
678015,202232,2,100
678015,202233,5,500
678015,202234,1,100
678015,202235,4,50
678015,202236,7,300
678015,202237,3,47
678015,202239,1,50
678015,202240,8,420
678015,202241,5,99
678015,202242,3,80
678015,202243,10,101
678015,202244,3,120
678015,202245,1,10
678015,202246,2,105
678015,202247,1,50
678015,202248,3,140
678015,202249,1,30
678015,202250,2,60
678015,202251,2,80
678015,202252,1,50
678015,202253,2,30
678015,202301,7,524
678015,202302,3,80
678015,202303,1,20
678015,202304,1,180
678015,202305,3,220
678015,202308,1,50
678015,202309,4,55
678015,202310,3,170
678015,202311,1,10
678015,202312,2,100
678015,202315,7,85
678015,202316,3,120
678015,202318,6,333
678015,202319,2,100
678015,202322,3,50
678015,202323,1,15
678016,202141,19,447
678016,202153,2,150
678016,202216,1,20
678016,202217,1,5
678016,202233,1,15
678016,202237,4,330
678016,202243,1,5
678016,202250,4,330
678016,202310,1,5
678016,202311,1,50
678016,202323,2,30
678016,202325,6,414
678019,202135,1,5
678019,202136,5,175
678019,202140,5,175
678019,202150,1,10
678019,202151,1,5
678019,202152,8,162
678019,202202,3,240
678019,202204,9,780
678019,202206,4,210
678019,202210,2,20
678019,202211,1,100
678019,202214,1,10
678019,202216,1,30
678019,202217,1,20
678019,202220,5,320
678019,202223,6,270
678019,202224,1,10
678019,202227,1,30
678019,202235,1,30
678019,202238,1,60
678019,202240,3,40
678019,202242,2,70
678019,202243,4,55
678019,202244,4,90
678019,202245,2,80
678019,202246,7,144
678019,202248,3,40
678019,202250,2,60
678019,202252,1,50
678019,202253,1,10
678019,202303,1,10
678019,202304,1,270
678019,202309,1,5
678019,202310,4,108
678019,202311,1,20
678019,202313,1,30
678019,202315,2,50
678019,202316,1,30
678019,202322,1,30
678019,202325,1,90
678020,202137,1,10
678020,202204,1,30
678020,202238,1,20
678020,202246,1,10
678022,202127,3,13
678022,202133,4,75
678022,202136,1,2
678022,202137,2,50
678022,202138,3,50
678022,202141,17,294
678022,202142,1,5
678022,202144,2,20
678022,202145,3,20
678022,202146,2,40
678022,202147,4,32
678022,202148,2,10
678022,202150,1,5
678022,202151,4,40
678022,202152,1,20
678022,202202,1,10
678022,202207,15,156
678022,202209,2,13
678022,202210,3,34
678022,202211,1,10
678022,202216,1,7
678022,202217,1,20
678022,202218,1,10
678022,202219,6,56
